,genre_ids,original_language,popularity,release_date_x,movie,vote_average,vote_count,tconst,start_year,runtime_minutes,genres,id,release_date_y,production_budget,domestic_gross,worldwide_gross,total_profit,was_it_profitable_domestically
2977,"[80, 35, 28]",en,11.175999999999998,2014-06-13,22 jump street,6.9,5167,tt2294449,2014,112.0,"Action,Comedy,Crime",85,2014-06-13,50000000,191719337,331333876,281333876,True
2978,[18],en,11.140999999999998,2014-07-11,boyhood,7.5,3097,tt1065073,2014,165.0,Drama,85,2014-07-11,4000000,25379975,57273049,53273049,True
2979,[18],en,11.095,2014-08-29,mommy,8.3,1399,tt3612616,2014,139.0,Drama,1,2015-01-23,4900000,3498695,17536004,12636004,False
2980,[18],en,11.095,2014-08-29,mommy,8.3,1399,tt5152894,2015,135.0,Drama,1,2015-01-23,4900000,3498695,17536004,12636004,False
2981,"[28, 18, 53]",en,11.061,2014-01-17,jack ryan: shadow recruit,6.1,1687,tt1205537,2014,105.0,"Action,Drama,Thriller",97,2014-01-17,60000000,50577412,131377412,71377412,False
2982,"[28, 18, 53, 80]",en,11.011,2014-02-14,3 days to kill,6.1,1279,tt2172934,2014,117.0,"Action,Drama,Thriller",64,2014-02-21,28000000,30697999,38959900,10959900,True
2983,[35],en,10.979,2014-07-03,tammy,5.2,735,tt2103254,2014,97.0,"Comedy,Romance",3,2014-07-02,20000000,84525432,96407655,76407655,True
2984,"[27, 53]",en,10.899,2014-04-18,13 sins,6.3,576,tt2059171,2014,93.0,"Horror,Thriller",51,2014-04-18,4000000,9134,47552,-3952448,False
2985,[27],en,10.841,2014-04-03,oculus,6.4,1747,tt2388715,2013,104.0,"Horror,Mystery",72,2014-04-11,5000000,27695246,44115496,39115496,True
2986,"[28, 35]",en,10.831,2014-01-17,ride along,6.2,1277,tt1408253,2014,99.0,"Action,Comedy,Crime",67,2014-01-17,25000000,134202565,153733800,128733800,True
2987,"[28, 35]",en,10.831,2014-01-17,ride along,6.2,1277,tt2263520,2012,87.0,Action,67,2014-01-17,25000000,134202565,153733800,128733800,True
2988,"[35, 10402, 10749, 18]",en,10.828,2014-07-11,begin again,7.2,2089,tt1945037,2013,68.0,"Drama,Family",91,2014-06-27,8000000,16170632,68838736,60838736,True
2989,"[35, 10402, 10749, 18]",en,10.828,2014-07-11,begin again,7.2,2089,tt1980929,2013,104.0,"Comedy,Drama,Music",91,2014-06-27,8000000,16170632,68838736,60838736,True
2990,"[35, 37]",en,10.816,2014-05-30,a million ways to die in the west,5.8,2219,tt2557490,2014,116.0,"Comedy,Western",48,2014-05-30,40000000,42720965,86778557,46778557,True
2991,[18],en,10.747,2014-12-05,still alice,7.5,1946,tt3316960,2014,101.0,Drama,92,2015-01-16,5000000,18656400,41699612,36699612,True
2992,[35],en,10.613,2014-05-23,blended,6.7,1709,tt1086772,2014,117.0,"Comedy,Romance",90,2014-05-23,45000000,46290741,127990741,82990741,True
2993,"[27, 53]",en,10.613,2014-08-29,"as above, so below",6.2,1321,tt10012842,2012,87.0,Documentary,84,2014-08-29,5000000,21222315,41824066,36824066,True
2994,"[27, 53]",en,10.613,2014-08-29,"as above, so below",6.2,1321,tt2870612,2014,93.0,"Adventure,Horror,Mystery",84,2014-08-29,5000000,21222315,41824066,36824066,True
2995,"[27, 53]",en,10.613,2014-08-29,"as above, so below",6.2,1321,tt9064942,2017,10.0,"Animation,Documentary,Sci-Fi",84,2014-08-29,5000000,21222315,41824066,36824066,True
2996,[18],en,10.581,2014-04-11,draft day,6.6,460,tt2223990,2014,110.0,"Drama,Sport",36,2014-04-11,25000000,28842237,29847480,4847480,True
2997,"[16, 35, 10751, 12]",en,10.501,2014-01-17,the nut job,5.6,529,tt1821658,2014,85.0,"Adventure,Animation,Comedy",72,2014-01-17,30000000,64251538,122529966,92529966,True
2998,[18],en,10.341,2014-09-12,the skeleton twins,6.7,394,tt1571249,2014,93.0,"Comedy,Drama,Romance",36,2014-09-12,1000000,5284309,5797192,4797192,True
2999,[53],en,10.267,2014-07-25,a most wanted man,6.5,784,tt1972571,2014,122.0,"Crime,Drama,Thriller",76,2014-07-25,15000000,17237855,36068890,21068890,True
3000,"[28, 18, 9648, 53]",en,10.151,1997-08-08,conspiracy theory,6.5,707,tt5354458,2016,79.0,"Horror,Thriller",73,1997-08-08,80000000,76118990,142783718,62783718,False
3001,"[27, 878, 53]",en,1.037,2016-01-29,conspiracy theory,2.0,3,tt5354458,2016,79.0,"Horror,Thriller",73,1997-08-08,80000000,76118990,142783718,62783718,False
3002,[18],en,10.098,2014-12-05,wild,7.0,1454,tt2305051,2014,115.0,"Adventure,Biography,Drama",33,2014-12-03,15000000,37880356,52460543,37460543,True
3003,[18],en,10.098,2014-12-05,wild,7.0,1454,tt4071086,2016,97.0,Drama,33,2014-12-03,15000000,37880356,52460543,37460543,True
3004,[18],en,10.098,2014-12-05,wild,7.0,1454,tt6383452,2018,80.0,Documentary,33,2014-12-03,15000000,37880356,52460543,37460543,True
3005,[18],en,10.098,2014-12-05,wild,7.0,1454,tt7480724,2018,92.0,"Drama,Romance",33,2014-12-03,15000000,37880356,52460543,37460543,True
3006,[18],en,10.098,2014-12-05,wild,7.0,1454,tt8844252,2018,60.0,Documentary,33,2014-12-03,15000000,37880356,52460543,37460543,True
3007,[18],de,1.045,2016-01-24,wild,6.4,28,tt2305051,2014,115.0,"Adventure,Biography,Drama",33,2014-12-03,15000000,37880356,52460543,37460543,True
3008,[18],de,1.045,2016-01-24,wild,6.4,28,tt4071086,2016,97.0,Drama,33,2014-12-03,15000000,37880356,52460543,37460543,True
