movie,production_budget,domestic_gross,production_profit_domestic
The Sound of Music,8200000,163214286,155014286
Us,20000000,175006930,155006930
There's Something About Mary,22000000,176484651,154484651
The Sting,5500000,159616327,154116327
The Lost World: Jurassic Park,75000000,229086679,154086679
"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,153787133
Twister,88000000,241688385,153688385
Home Alone 2: Lost in New York,20000000,173585516,153585516
3 Men and a Baby,15000000,167780960,152780960
Indiana Jones and the Temple of Doom,28000000,179880271,151880271
Saving Private Ryan,65000000,216335085,151335085
300,60000000,210614939,150614939
Austin Powers in Goldmember,63000000,213117789,150117789
Suicide Squad,175000000,325100054,150100054
Alvin and the Chipmunks: The Squeakquel,70000000,219614612,149614612
Halloween,10000000,159342015,149342015
Indiana Jones and the Last Crusade,48000000,197171806,149171806
Close Encounters of the Third Kind,20000000,169100479,149100479
Cast Away,85000000,233632142,148632142
Rain Man,25000000,172825435,147825435
Doctor Seuss' The Lorax,67500000,214030500,146530500
The Help,25000000,169705587,144705587
Hidden Figures,25000000,169607287,144607287
Crazy Rich Asians,30000000,174532921,144532921
Fatal Attraction,14000000,156645693,142645693
Iron Man 2,170000000,312433331,142433331
Harry Potter and the Order of the Phoenix,150000000,292137260,142137260
Elf,32000000,173840591,141840591
22 Jump Street,50000000,191719337,141719337
Night at the Museum,110000000,250863268,140863268
Chicago,30000000,170687518,140687518
Harry Potter and the Goblet of Fire,150000000,290201752,140201752
The Blair Witch Project,600000,140539099,139939099
The Fugitive,44000000,183875760,139875760
National Lampoon's Animal House,3000000,141600000,138600000
The Waterboy,23000000,161491646,138491646
Scary Movie,19000000,157019771,138019771
Gremlins,11000000,148168459,137168459
How the Grinch Stole Christmas,123000000,260044825,137044825
Bridesmaids,32500000,169211718,136711718
The Karate Kid,40000000,176591618,136591618
Juno,7000000,143495265,136495265
Liar Liar,45000000,181410615,136410615
True Grit,35000000,171243005,136243005
Rush Hour 2,90000000,226164286,136164286
Thor: Ragnarok,180000000,315058289,135058289
Alice in Wonderland,200000000,334191110,134191110
Beverly Hills Cop II,20000000,153665036,133665036
Big Daddy,30000000,163479795,133479795
Straight Outta Compton,28000000,161197785,133197785
Split,5000000,138141585,133141585
Iron Man,186000000,318604126,132604126
Inception,160000000,292576195,132576195
Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,132101119
Neighbors,18000000,150086800,132086800
Platoon,6000000,137963328,131963328
The Matrix Reloaded,150000000,281553689,131553689
La La Land,20000000,151101803,131101803
Good Will Hunting,10000000,138433435,128433435
